+35 01 32.0
19 06 06.8   13 54 56  19 06 05.9   13 53 05  22 50
19 51 30.6   08 56 12  19 51 29.7   08 55 01  22 53
19 07 06.6  -04 49 09  19 07 05.9  -04 49 27  22 55
20 12 05.4  -00 44 34  20 12 04.2  -00 45 50  22 58
22 07 40.8   25 26 33  22 07 38.8   25 26 01  23 01
22 43 41.0   30 19 20  22 43 37.2   30 18 50  23 03
22 06 31.8  -00 12 51  22 06 29.0  -00 13 00  23 05
22 58 26.1  -29 29 19  22 58 20.8  -29 28 15  23 06
00 44 15.0  -17 51 50  00 44 09.6  -17 50 37  23 10
00 13 58.1   15 17 28  00 13 53.1   15 18 17  23 13
01 10 32.3   35 42 57  01 10 24.7   35 42 55  23 15
02 07 57.5   23 33 04  02 08 24.6   23 34 31  23 23
02 02 44.3   02 51 45  02 03 13.3   02 52 51  23 25
03 02 56.9   04 10 28  03 03 44.7   04 12 47  23 29
04 01 22.2   12 33 19  04 02 23.8   12 35 34  23 33
03 54 59.0   31 56 23  03 56 07.7   31 58 07  23 38
02 04 47.4   42 24 47  02 05 46.9   42 27 58  23 41
01 38 53.8   48 42 55  01 39 51.2   48 46 02  23 52
01 55 29.0   63 44 56  01 56 47.0   63 45 46  00 04
03 51 55.5   71 22 33  03 54 23.0   71 24 28  00 12
05 17 41.1   46 01 17  05 19 05.8   46 03 12  00 16
05 27 05.5   28 38 13  05 28 17.5   28 40 27  00 18
21 13 34.1   30 18 35  21 13 31.7   30 17 38  00 24
19 31 21.9   28 00 56  19 31 20.1   27 58 49  00 25
18 37 30.6   38 49 17  18 37 28.4   38 48 17  00 26
20 41 56.3   45 21 02  20 41 53.8   45 20 12  00 30
23 02 35.6   42 25 26  23 02 30.5   42 24 26  00 32
00 09 57.6   59 14 37  00 09 46.8   59 13 49  00 42
21 43 57.5   58 51 39  21 43 49.1   58 50 08  00 48
19 48 09.0   70 18 55  19 47 55.3   70 18 02  00 50
14 50 42.6   74 07 17  14 50 24.5   74 06 08  00 53
